season,weather,temp,humidity,windspeed,casual,registered,count,time,day,month,year,weekday,am_or_pm,holidays,lag1,lag2,lag3,rolling_3,rolling_6,is_peak,weekend_bad_weather
3,2,7.653428306022466,122.4308846941611,18.78370259462514,5,128,315.73177772676775,0,1,1,2011,0,0,0,,,,,,0,0
4,3,13.269243731105728,101.70380200682938,14.035244796085728,36,184,340.4570929642544,1,1,1,2011,0,0,0,315.73177772676775,,,,,0,0
1,3,30.88692174117425,77.5837431949997,45.36508027377819,34,97,224.27859468934304,2,1,1,2011,0,0,0,340.4570929642544,315.73177772676775,,293.4891551267884,,0,0
3,1,10.463376705467018,114.92567065504612,25.3471677841029,6,47,132.16954945773406,3,1,1,2011,0,0,0,224.27859468934304,340.4570929642544,315.73177772676775,232.3017457037772,,0,0
3,4,30.214782565112404,149.19359215302222,20.28898166364012,14,199,315.86713728160487,4,1,1,2011,0,0,0,132.16954945773406,224.27859468934304,340.4570929642544,224.10509380956069,,0,0
4,1,7.3205877148755025,114.29326826409644,28.498987905385828,20,20,103.66436782546523,5,1,1,2011,0,0,0,315.86713728160487,132.16954945773406,224.27859468934304,183.90035152160138,238.69475332419492,0,0
1,4,33.22305956438679,84.54488289085882,39.778733748524985,37,158,348.6420275823583,6,1,1,2011,0,0,0,103.66436782546523,315.86713728160487,132.16954945773406,256.05784422980946,244.17979496679334,0,0
1,1,17.395275684735992,74.5141420945286,44.27820013408039,35,185,333.1396443041833,7,1,1,2011,0,0,0,348.6420275823583,103.66436782546523,315.86713728160487,261.81534657066896,242.9602201901148,1,0
3,3,22.477229734155152,96.83820203554646,43.26683026703756,22,174,293.5913105077834,8,1,1,2011,0,0,0,333.1396443041833,348.6420275823583,103.66436782546523,325.12432746477504,254.5123394931882,1,0
2,1,,,,28,22,181.63908948186807,9,1,1,2011,0,0,0,293.5913105077834,333.1396443041833,348.6420275823583,269.45668143127824,262.7572628305439,1,0
3,4,6.120887631506779,142.34043879954763,19.98907136617938,12,90,180.6431717430795,10,1,1,2011,0,0,0,181.63908948186807,293.5913105077834,333.1396443041833,218.6245239109103,240.21993524078962,0,0
